id,name,stock_id,stock_name,price,convert_value,premium_rt,rating_cd,pb,convert_amt_ratio,convert_amt_ratio2,next_put_dt,put_price,put_convert_price,maturity_dt,redeem_price,last_time,force_redeem,redeem_dt,force_redeem_price
127033,中装转2,002822.sz,中装建设,110.723,88.38,25.28%,AA,1.10,32.6%,29.0%,2025-04-15,100.000,4.40,2027-04-15,112.000,5.581,X,,8.16
127026,超声转债,000823.sz,超声电子,113.511,90.41,25.55%,AA,1.55,11.3%,11.3%,2024-12-09,100.000,8.90,2026-12-07,108.000,5.227,X,,16.54
113565,宏辉转债,603336.ss,宏辉果蔬,110.29,87.83,25.57%,AA-,2.75,7.7%,7.7%,2024-02-26,100.000,5.35,2026-02-25,112.000,4.447,X,,9.93
110068,龙净转债,600388.ss,龙净环保,108.36,86.26,25.62%,AA+,1.52,20.6%,20.6%,2024-03-25,100.000,7.38,2026-03-23,110.000,4.518,X,,13.71
123054,思特转债,300608.sz,思特奇,137.386,109.11,25.92%,AA-,3.26,9.2%,7.2%,2024-06-10,100.000,8.84,2026-06-09,115.000,4.732,N,,16.42
110034,九州转债,600998.ss,九州通,111.49,88.39,26.13%,AA+,1.28,5.1%,5.1%,2020-01-15,103.000,12.48,2022-01-15,108.000,0.332,X,,23.18
123074,隆利转债,300752.sz,隆利科技,150.01,118.87,26.20%,AA-,5.46,10.6%,3.4%,2024-10-29,100.000,12.84,2026-10-28,118.000,5.118,N,,23.84
127031,洋丰转债,000902.sz,新洋丰,142.879,112.99,26.45%,AA,3.93,3.7%,3.4%,2025-03-24,100.000,13.96,2027-03-24,112.000,5.521,X,,25.92
113502,嘉澳转债,603822.ss,嘉澳环保,134.99,106.79,26.41%,AA-,4.09,5.3%,5.3%,2021-11-10,100.000,31.25,2023-11-09,108.000,2.148,X,,58.03
113037,紫银转债,601860.ss,紫金银行,104.6,82.72,26.45%,AA+,0.80,76.5%,36.7%,,,-,2026-07-22,110.000,4.849,X,,5.26
128120,联诚转债,002921.sz,联诚精密,111.919,88.34,26.69%,A,1.98,19.5%,15.0%,2024-07-16,100.000,12.91,2026-07-16,112.000,4.833,X,,23.97
