id,name,stock_id,stock_name,price,convert_value,premium_rt,rating_cd,pb,convert_amt_ratio,convert_amt_ratio2,next_put_dt,put_price,put_convert_price,maturity_dt,redeem_price,last_time,force_redeem,redeem_dt,force_redeem_price
123074,隆利转债,300752.sz,隆利科技,155.8,125.9,23.75%,AA-,5.79,10.0%,3.2%,2024-10-29,100.000,12.84,2026-10-28,118.000,5.123,N,,23.84
113050,南银转债,601009.ss,南京银行,116.53,93.66,24.41%,AAA,0.83,24.9%,21.1%,,,-,2027-06-14,107.000,5.751,X,,13.13
128073,哈尔转债,002615.sz,哈尔斯,116.683,93.7,24.53%,AA-,2.54,24.2%,13.6%,2022-08-22,100.000,4.00,2024-08-22,112.000,2.940,X,,7.42
128137,洁美转债,002859.sz,洁美科技,134.7,108.07,24.64%,AA-,6.13,5.0%,4.9%,2024-11-04,100.000,19.34,2026-11-03,112.000,5.140,X,,35.92
123114,三角转债,300775.sz,三角防务,173.74,138.72,25.25%,AA-,9.90,7.8%,4.1%,2025-05-26,100.000,22.27,2027-05-24,115.000,5.693,X,,41.37
128071,合兴转债,002228.sz,合兴包装,111.005,88.52,25.41%,AA,1.30,6.6%,6.5%,2023-08-15,100.000,2.93,2025-08-15,110.000,3.921,X,,5.43
127036,三花转债,002050.sz,三花智控,139.779,111.37,25.51%,AA+,8.25,3.5%,3.5%,2025-06-02,100.000,15.09,2027-05-31,110.000,5.712,X,,28.02
113614,健20转债,603707.ss,健友股份,125.87,100.27,25.53%,AA,8.56,2.2%,2.2%,2024-12-16,100.000,20.38,2026-12-16,109.000,5.258,X,,37.86
128014,永东转债,002753.sz,永东股份,118.45,94.09,25.89%,AA-,2.07,11.8%,7.6%,2021-04-17,100.000,8.76,2023-04-17,108.000,1.589,X,,16.28
128039,三力转债,002224.sz,三力士,114.2,90.67,25.95%,AA-,1.59,7.1%,5.3%,2022-06-08,100.000,4.05,2024-06-07,106.000,2.732,X,,7.53
110034,九州转债,600998.ss,九州通,112.73,89.4,26.10%,AA+,1.29,5.0%,5.0%,2020-01-15,103.000,12.48,2022-01-15,108.000,0.337,X,,23.18
127026,超声转债,000823.sz,超声电子,116.0,91.9,26.22%,AA,1.58,11.1%,11.1%,2024-12-09,100.000,8.90,2026-12-07,108.000,5.233,X,,16.54
113600,新星转债,603978.ss,深圳新星,116.19,91.95,26.36%,AA-,2.10,17.0%,17.0%,2024-08-12,100.000,16.70,2026-08-12,120.000,4.912,X,,31.00
110073,国投转债,600061.ss,国投资本,117.58,93.03,26.39%,AAA,1.25,13.5%,13.5%,,,-,2026-07-23,107.000,4.858,X,,12.87
127017,万青转债,000789.sz,万年青,136.819,108.02,26.66%,AA+,1.74,8.6%,8.6%,2024-06-03,100.000,9.42,2026-06-02,113.000,4.718,X,,17.50
127041,弘亚转债,002833.sz,弘亚数控,130.55,103.05,26.69%,AA-,6.45,8.5%,5.0%,2024-07-12,100.000,26.66,2026-07-13,115.000,4.830,X,,49.52
110068,龙净转债,600388.ss,龙净环保,110.99,87.58,26.73%,AA+,1.54,20.2%,20.2%,2024-03-25,100.000,7.38,2026-03-23,110.000,4.523,X,,13.71
128101,联创转债,002036.sz,联创电子,148.0,116.55,26.99%,AA,4.43,1.8%,1.8%,2024-03-18,100.000,9.60,2026-03-16,110.000,4.504,X,,17.84
113037,紫银转债,601860.ss,紫金银行,105.46,82.96,27.12%,AA+,0.80,76.3%,36.6%,,,-,2026-07-22,110.000,4.855,X,,5.26
123116,万兴转债,300624.sz,万兴科技,132.164,103.86,27.26%,A+,7.76,6.6%,5.6%,2025-06-09,100.000,34.85,2027-06-08,115.000,5.734,X,,64.71
127006,敖东转债,000623.sz,吉林敖东,116.36,91.39,27.32%,AA+,0.90,11.2%,11.2%,2022-03-13,100.000,14.15,2024-03-13,105.000,2.496,X,,26.29
123054,思特转债,300608.sz,思特奇,149.767,117.5,27.46%,AA-,3.51,8.6%,6.7%,2024-06-10,100.000,8.84,2026-06-09,115.000,4.737,N,,16.42
110067,华安转债,600909.ss,华安证券,114.72,89.87,27.65%,AAA,1.41,10.7%,10.7%,,,-,2026-03-11,107.000,4.490,X,,8.09
123120,隆华转债,300263.sz,隆华科技,189.96,148.2,28.18%,AA-,3.76,9.0%,7.6%,2025-07-29,100.000,5.43,2027-07-29,115.000,5.874,X,,10.09
123025,精测转债,300567.sz,精测电子,145.4,113.37,28.25%,AA-,4.79,3.2%,2.0%,2023-03-29,100.000,34.56,2025-03-28,112.000,3.537,N,,64.18
113565,宏辉转债,603336.ss,宏辉果蔬,111.19,86.65,28.32%,AA-,2.71,7.8%,7.8%,2024-02-26,100.000,5.35,2026-02-25,112.000,4.452,X,,9.93
127031,洋丰转债,000902.sz,新洋丰,146.899,114.24,28.58%,AA,3.97,3.7%,3.4%,2025-03-24,100.000,13.96,2027-03-24,112.000,5.526,X,,25.92
127038,国微转债,002049.sz,紫光国微,187.2,145.45,28.70%,AA+,19.72,1.2%,1.2%,2025-06-09,100.000,96.45,2027-06-09,110.000,5.737,X,,179.11
113608,威派转债,603956.ss,威派格,117.35,91.09,28.83%,A+,6.15,27.5%,5.7%,2024-11-09,100.000,13.36,2026-11-08,115.000,5.153,X,,24.80
123053,宝通转债,300031.sz,宝通科技,134.649,104.49,28.87%,AA-,2.66,7.2%,5.9%,2024-06-04,100.000,14.35,2026-06-04,115.000,4.723,X,,26.65
127032,苏行转债,002966.sz,苏州银行,111.397,86.42,28.90%,AAA,0.75,44.0%,21.4%,,,-,2027-04-12,110.000,5.578,X,,10.53
128053,尚荣转债,002551.sz,尚荣医疗,134.699,104.3,29.14%,AA,1.41,6.4%,4.4%,2023-02-14,100.000,3.42,2025-02-14,110.000,3.422,X,,6.34
